feature,importance
Pfam_PETase,0.08089181685053903
Pfam_Cutinase,0.07069897225177815
Pfam_EHN,0.04680936853095636
length,0.04264023452506084
AAC_E,0.0359932974357054
Pfam_Abhydrolase_6,0.03593903515995618
AAC_T,0.03546015056430162
AAC_L,0.03487247019479679
AAC_A,0.03189168483910346
AAC_Y,0.03068831996549796
AAC_W,0.03012147062284121
AAC_P,0.02993570828278662
AAC_K,0.02960546231113136
AAC_C,0.029152435257287515
AAC_G,0.028434589810139726
AAC_H,0.024240458487224198
AAC_F,0.023898831457897972
Pfam_Hydrolase_4,0.022627109367959346
AAC_R,0.02224125692639344
AAC_I,0.022083043763499226
AAC_V,0.02192304791643485
Pfam_4HBT,0.02111593960740269
AAC_S,0.02029910164737927
AAC_N,0.019873938454788055
Pfam_Abhydrolase_1,0.019825863125181167
Pfam_PAF-AH_p_II,0.017727824296509504
AAC_D,0.017168900947835436
AAC_M,0.016541286681477103
AAC_Q,0.0159764198836726
Pfam_Chlorophyllase,0.007041059531358143
